"ANTIOQUIA","ATLANTICO","SANTAFE DE BOGOTA D.C","BOLIVAR","BOYACA","CALDAS","CAQUETA","CAUCA","CESAR","CORDOBA","CUNDINAMARCA","CHOCO","HUILA","LA GUAJIRA","MAGDALENA","META","NARIÑO","NORTE DE SANTANDER","QUINDIO","RISARALDA","SANTANDER","SUCRE","TOLIMA","VALLE DEL CAUCA","ARAUCA","CASANARE","PUTUMAYO","AMAZONAS","GUAINIA","GUAVIARE","VAUPES","VICHADA","ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA"
0,419973.802436086,328302.119120591,232018.534996291,301841.790552684,177429.087815474,702058.540114183,519739.185251041,366891.967847732,160577.030491956,285443.14416505,184985.113623847,484091.172036591,606165.578642714,393750.796203762,493029.917982182,646175.656140109,322407.763972437,269798.019994739,207546.756643355,231335.921518256,242975.374327589,319696.707082635,353116.98816566,511244.441352213,471663.427161638,716859.301005112,1040815.9841055,888236.423122457,675270.164676405,892715.104726908,726267.206408681,931746.394425952
419973.802436086,0,710198.15591576,221403.186245287,579990.505895121,591037.432098242,1099077.87338671,938102.067067046,202244.293887418,271005.963970855,655618.578651855,562476.864955926,901553.46270604,286303.16111622,90555.5301367459,842267.213119216,1058376.90548401,366873.933066698,688579.91511365,627503.114503811,469817.242427823,177860.45600085,732856.063842907,771197.010576258,633951.474656769,692851.767948012,1134994.02299457,1405269.16391855,1117664.74521812,1019599.15551355,1214188.0593171,902327.8582389,759273.883774886
328302.119120591,710198.15591576,0,490876.455313977,202570.516492224,169942.083850558,389237.654702429,362189.496959741,584030.114019647,482588.669156748,57437.9235404045,359732.684385645,250087.72342029,813894.058517521,656951.467304776,175272.114634698,508802.463377367,441812.487250926,165132.227986675,208078.851762439,275070.46341803,537394.515534435,119887.916710029,261836.226896061,435762.837543783,311357.70652401,463575.676055255,712783.969645382,628037.665858105,351803.984211124,573908.231001754,532522.65194951,1250153.74029007
232018.534996291,221403.186245287,490876.455313977,0,361537.156417524,385269.236968241,880113.707906563,746360.29739843,139745.95122932,147321.474271895,435497.904472592,406877.468568156,694516.728978688,374770.786959009,169095.851860621,621052.726251796,876746.182426277,191069.818254715,486442.459797878,432428.308277553,251321.942547109,76996.1402332372,523452.967282814,581213.216735937,458041.133339956,489051.788749508,927575.120453817,1184129.82136196,921089.11224443,799182.689366191,997322.792173292,718378.939734148,899677.7365666
301841.790552684,579990.505895121,202570.516492224,361537.156417524,0,249961.897418216,559150.732751657,558261.113677033,419256.012888081,412231.961798149,153038.74638183,428128.028762029,452530.612789749,632673.560404673,510656.3261825,270223.821214502,705082.79977403,256138.900520452,317809.706278258,319306.283756067,110308.150990185,426907.38639582,303991.890918161,432387.345057744,251874.695945158,171774.997609593,662383.870645073,828722.21269867,589450.261414772,440968.511600874,635863.064942257,426628.42978746,1218523.84713527
177429.087815474,591037.432098242,169942.083850558,385269.236968241,249961.897418216,0,525778.000506494,366797.939096441,504621.795598469,337994.672888827,147562.237329556,195896.627908413,310695.246589805,745356.187346302,553906.600602039,344864.162321026,505533.858231933,404313.766160914,102124.932924797,70836.6644552479,250684.648807419,413226.831113137,142684.975193559,209534.468266886,500160.675417546,411956.929736543,544206.16431145,872378.748599683,783895.598940573,521152.012306971,743751.446360146,659239.309104561,1081825.32144573
702058.540114183,1099077.87338671,389237.654702429,880113.707906563,559150.732751657,525778.000506494,0,367870.659996823,968905.777409427,861771.40938495,445107.809609805,665312.195250559,268128.43404345,1191254.38988417,1045829.48902802,303244.965658285,442772.151620871,814725.831915444,451128.096408258,521111.69337278,654420.648333812,924961.376316787,388404.247341725,443903.239496957,718914.735083355,571781.403228606,212583.476146042,376641.811120407,613945.30047791,241292.955021276,380229.69773114,664679.917531136,1581228.06637726
519739.185251041,938102.067067046,362189.496959741,746360.29739843,558261.113677033,366797.939096441,367870.659996823,0,870716.857417214,669506.356627058,405375.896645505,397170.225652986,138098.053140534,1111819.83008034,912455.903997516,446349.548788619,146907.161904366,765558.26011561,265282.014290773,313976.046145877,602413.356348487,762386.686540597,255269.23698524,166907.167329857,797949.568579866,669524.563948226,243611.689742076,738796.038911264,898678.99394738,531009.258282145,728313.538080922,864316.058368229,1272714.07493826
366891.967847732,202244.293887418,584030.114019647,139745.95122932,419256.012888081,504621.795598469,968905.777409427,870716.857417214,0,280729.40171682,526697.5687483,545635.620182245,806963.181991606,241397.534834522,112662.155833553,689320.616301204,1005415.04837945,175924.53190253,606741.03804444,558812.497834515,315317.526286328,181477.577853039,635653.268420439,708221.193513618,434149.982406556,506019.062104556,1037438.59095273,1246350.62557003,922215.442288572,857940.248216094,1039258.81837248,702929.883814859,953115.478843261
160577.030491956,271005.963970855,482588.669156748,147321.474271895,412231.961798149,337994.672888827,861771.40938495,669506.356627058,280729.40171682,0,434868.06801043,292589.109348039,643237.768425345,499205.990577884,266262.407473068,639120.843489272,787510.513361935,320404.965088009,428690.550830134,363519.031486186,313285.611689227,108354.059627352,480227.756290286,502878.836440859,568371.857551284,567667.951347042,875176.051526611,1194800.69238089,998674.134598558,821903.19579245,1034105.12050619,813770.20470534,807258.460311235
